Type;CurrentTime;ClientID;MessageID;NumPackets;MsgTimeQueued;MsgTimeSent;MsgTimeDelivered;MsgTransitTime;MsgSize;MsgRealSender
RCV_MSG;101.6433127627273;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;292bd877ab2ac321891dfc6d53b1e3aa4dc0a6b5310acc2498ffceb4c6e30f7f;1;101.0;101.55676081935286;101.6433127627273;0.08655194337444527;4;1
RCV_MSG;103.78786030944941;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;3495724100fd520dbe1eb641fad9b683bfdd7dffb81616addcce9037009db789;1;102.0;103.6795673298001;103.78786030944941;0.10829297964932039;4;1
RCV_MSG;104.33473452835791;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;87c2cac35dac6c783e4a3900040c4e0f6f86b7806f9512ada513d9e2ad066eb5;1;103.0;104.06456784398605;104.33473452835791;0.2701666843718584;4;1
RCV_MSG;104.7650104764938;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;c9c8044f68482fd774fbafdb04121cc9bd919512bddf5491b5ab04ab4add7d9f;1;104.0;104.45962395270394;104.7650104764938;0.3053865237898634;4;1
RCV_MSG;105.43415750487196;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;3f616ed0d4550c69595e7fd881031302f82271dc2b5a3a7f6fd55226c5b9cbbb;1;105.0;105.09599890465196;105.43415750487196;0.3381586002199981;4;1
RCV_MSG;106.47502554047765;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;d71753ce3143cf344d048489202ba4162a6845024652fe9b7fd6f1de31252211;1;106.0;106.40358508268088;106.47502554047765;0.07144045779676844;4;1
RCV_MSG;111.17550634072256;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;7439f7024cac4d3166adae8f931878586c943a2daf0b24a231ff471bc7138b26;1;107.0;110.96808464336095;111.17550634072256;0.2074216973616103;4;1
RCV_MSG;111.8506891867644;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;3f34b00ea37855da14f0db7bde56ab8a00fff3ce30bf6e9c53daeb25a319c625;1;109.0;111.71228497944324;111.8506891867644;0.13840420732115888;4;1
RCV_MSG;112.07843671962281;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;a8a8c4ff5e0fc0754aef9dbea485ade3698136396e69d34b5e29d2171e359565;1;108.0;111.61258049623963;112.07843671962281;0.46585622338318444;4;1
RCV_MSG;112.9904427133483;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;fe584fc627466bd5db142960586e1391e61ef286c8f699f8bfd93966138acdd3;1;110.0;112.84592062630657;112.9904427133483;0.14452208704173586;4;1
RCV_MSG;114.74862847873281;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;48ce9776a2a12c9feb995ac0250a946e888808c4f5a9bb4a0c7552b5f7971f54;1;111.0;114.58517503545886;114.74862847873281;0.1634534432739514;4;1
RCV_MSG;119.61636982736582;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;6e89b91ed366d4d0cc1e752dbbc3092fb54b3e3760077c571b6f5a3cba094b32;1;112.0;119.28598082197774;119.61636982736582;0.3303890053880707;4;1
RCV_MSG;119.95693021434734;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;7065eb52550a9fc121cc73eebed61c26aac2800a7e2d06231810a502f60d8bbe;1;113.0;119.66885530034571;119.95693021434734;0.2880749140016263;4;1
RCV_MSG;120.4119711858115;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;9afa19590a73a29ae3269d3c522b9a38217eeb4a6c699ce2502ae8a18e23738f;1;114.0;120.16844669336831;120.4119711858115;0.24352449244318564;4;1
RCV_MSG;120.61749197006547;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;a772ed7dd8be558fa5401841e59354c2c95cb802eac7246c2c4178546d5266d6;1;115.0;120.26464943631167;120.61749197006547;0.35284253375380104;4;1
RCV_MSG;120.73605282144877;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;bc9ae5fa0d93c25f168b55e996c8712e67dd68ec0f978ae1bdec76d2e2777e33;1;116.0;120.50020608072003;120.73605282144877;0.23584674072873213;4;1
RCV_MSG;121.88524125041569;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;d0c656bf03f73814112125d5345819a2ce62724f1f691ccabf6d251ad3c0da6d;1;117.0;121.66726631719085;121.88524125041569;0.21797493322483774;4;1
RCV_MSG;122.90055771027781;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;daf87ff0741b70aecbc450cbbc0919407a085a544b1af529ba00105eabf72a1f;1;118.0;122.67126904220314;122.90055771027781;0.2292886680746733;4;1
RCV_MSG;124.69046444192983;a2191204fc5cb5b79bfa874e4d18089f8b9a64da9e71073bc77dd3c8a60ae3d9;4eacdf243c81a2fd016c9e68676bb8714122f2a07e10fe04652bbb4ed15b22a6;1;119.0;124.10156068286219;124.69046444192983;0.588903759067648;4;1
